Hash,HashNeedThis,Division,Collection,ProductNameDescription,ProductNameDescriptionSecondary,ProductCategory,ProductDepartment,LaunchSeason,SeasonsCarried,ProductType,ProductSubtype,ProductDetails,ProductClass,Colorway,CarryOver,Essential,SKUCode,ColorwaySKU0,ColorwaySKU1,ColorwaySKU2,ColorwaySKU3,ColorwaySKU4,ColorwaySKU5,ColorwaySKU6,ColorwaySKU7,Size0,Size1,Size2,Size3,Size4,Size5,Size6,Size7,USRetailMSRP,EURetailMSRP,CountryCode,Composition,ProductDescription,ProductFeatures,LineList,primaryImageURL,thumbURL,imageURL0,imageURL1,imageURL2,imageURL3,imageURL4,imageURL5,imageURL6,imageURL7,imageURL8,imageURL9,imageURL10
10000-00035,10000-00035,Moto,SP23,AIRMATIC,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Army Green,TRUE,FALSE,10000-00035,10000-00035,10000-00036,10000-00037,10000-00038,,,,,S,M,L,XL,,,,,32.5,34.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",#N/A,#N/A,,,,,,,,,,,
10000-00040,10000-00040,Moto,SP23,AIRMATIC,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Silver,TRUE,FALSE,10000-00040,10000-00040,10000-00041,10000-00042,10000-00043,,,,,S,M,L,XL,,,,,32.5,34.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",#N/A,#N/A,,,,,,,,,,,
10001-00000,10001-00000,Moto,SP23,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"SP23, FA22, SP22",Gloves,Regular,,,Black/Charcoal,TRUE,TRUE,10001-00000,10001-00000,10001-00001,10001-00002,10001-00003,,,,,S,M,L,XL,,,,,26.5,28.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",https://fs.amplifi.io//file?id=5fcc6cac-b815-47fb-b130-e46be9152db8,https://fs.amplifi.io//file?id=5fcc6cac-b815-47fb-b130-e46be9152db8&variant=thumb&extension=png,https://fs.amplifi.io//file?id=5fcc6cac-b815-47fb-b130-e46be9152db8,https://fs.amplifi.io//file?id=a80707ce-e977-4226-9923-606dee63c90f,,,,,,,,,
10001-00004,10001-00004,Moto,SP23,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"SP23, FA22, SP22",Gloves,Regular,,,Fluo Yellow/Black,TRUE,TRUE,10001-00004,10001-00004,10001-00005,10001-00006,10001-00007,,,,,S,M,L,XL,,,,,26.5,28.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",https://fs.amplifi.io//file?id=73b94358-8929-4d8b-b88d-2d866842d352,https://fs.amplifi.io//file?id=73b94358-8929-4d8b-b88d-2d866842d352&variant=thumb&extension=png,https://fs.amplifi.io//file?id=73b94358-8929-4d8b-b88d-2d866842d352,,,,,,,,,,
10001-00008,10001-00008,Moto,SP23,AIRMATIC,Youth Gloves,Gloves,Soft Goods,SP22,"SP23, FA22, SP22",Gloves,Regular,,,Red/Black,TRUE,TRUE,10001-00008,10001-00008,10001-00009,10001-00010,10001-00011,,,,,S,M,L,XL,,,,,26.5,28.5,VN,"63% Nylon
16% Polyurethane (PU)
10% Rubber
7% Polyester
4% Elastane","Everyday Comfort. The perfect go-to glove for all types of riding. The multi-panel construction of the Airmatic is engineered to blend unmatched comfort and versatility into a great fitting, all-purpose glove.",#NAME?,"2W Distributor - Moto, 2W Distributor, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail",https://fs.amplifi.io//file?id=8f601035-6659-46af-8e4f-0613e2c04c0f,https://fs.amplifi.io//file?id=8f601035-6659-46af-8e4f-0613e2c04c0f&variant=thumb&extension=png,https://fs.amplifi.io//file?id=8f601035-6659-46af-8e4f-0613e2c04c0f,,,,,,,,,,
10003-00000,10003-00000,"Bike, Moto",SP23,BRISKER,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Black,TRUE,TRUE,10003-00000,10003-00000,10003-00001,10003-00002,10003-00003,10003-00004,,,,S,M,L,XL,2XL,,,,34.5,36.5,VN,"Solid Colors
41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane
Sublimated Colors
51% Polyester
28% Nylon
8% Rubber
7% Elastane
6% Polyurethane (PU)","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.",#NAME?,"2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
10003-00005,10003-00005,"Bike, Moto",SP23,BRISKER,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Camo/Black,TRUE,TRUE,10003-00005,10003-00005,10003-00006,10003-00007,10003-00008,10003-00009,,,,S,M,L,XL,2XL,,,,34.5,36.5,VN,"Solid Colors
41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane
Sublimated Colors
51% Polyester
28% Nylon
8% Rubber
7% Elastane
6% Polyurethane (PU)","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.",#NAME?,"2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
10003-00010,10003-00010,"Bike, Moto",SP23,BRISKER,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Fluo Orange/Black,TRUE,TRUE,10003-00010,10003-00010,10003-00011,10003-00012,10003-00013,10003-00014,,,,S,M,L,XL,2XL,,,,34.5,36.5,VN,"Solid Colors
41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane
Sublimated Colors
51% Polyester
28% Nylon
8% Rubber
7% Elastane
6% Polyurethane (PU)","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.",#NAME?,"2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
10003-00015,10003-00015,"Bike, Moto",SP23,BRISKER,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Fluo Yellow/Black,TRUE,TRUE,10003-00015,10003-00015,10003-00016,10003-00017,10003-00018,10003-00019,,,,S,M,L,XL,2XL,,,,34.5,36.5,VN,"Solid Colors
41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane
Sublimated Colors
51% Polyester
28% Nylon
8% Rubber
7% Elastane
6% Polyurethane (PU)","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.",#NAME?,"2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
10003-00020,10003-00020,"Bike, Moto",SP23,BRISKER,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Heather Grey,TRUE,TRUE,10003-00020,10003-00020,10003-00021,10003-00022,10003-00023,10003-00024,,,,S,M,L,XL,2XL,,,,34.5,36.5,VN,"Solid Colors
41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane
Sublimated Colors
51% Polyester
28% Nylon
8% Rubber
7% Elastane
6% Polyurethane (PU)","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.",#NAME?,"2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
10003-00025,10003-00025,"Bike, Moto",SP23,BRISKER,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Neon Pink,TRUE,TRUE,10003-00025,10003-00025,10003-00026,10003-00027,10003-00028,10003-00029,,,,S,M,L,XL,2XL,,,,34.5,36.5,VN,"Solid Colors
41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane
Sublimated Colors
51% Polyester
28% Nylon
8% Rubber
7% Elastane
6% Polyurethane (PU)","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.",#NAME?,"2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
10003-00030,10003-00030,"Bike, Moto",SP23,BRISKER,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Red,TRUE,TRUE,10003-00030,10003-00030,10003-00031,10003-00032,10003-00033,10003-00034,,,,S,M,L,XL,2XL,,,,34.5,36.5,VN,"Solid Colors
41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane
Sublimated Colors
51% Polyester
28% Nylon
8% Rubber
7% Elastane
6% Polyurethane (PU)","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.",#NAME?,"2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
10003-00035,10003-00035,"Bike, Moto",SP23,BRISKER,Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Turquoise,TRUE,TRUE,10003-00035,10003-00035,10003-00036,10003-00037,10003-00038,10003-00039,,,,S,M,L,XL,2XL,,,,34.5,36.5,VN,"Solid Colors
41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane
Sublimated Colors
51% Polyester
28% Nylon
8% Rubber
7% Elastane
6% Polyurethane (PU)","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.",#NAME?,"2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
10004-00000,10004-00000,"Bike, Moto",SP23,BRISKER,Youth Gloves,Gloves,Soft Goods,FA22,"SP23, FA22",Gloves,Regular,,,Black,TRUE,TRUE,10004-00000,10004-00000,10004-00001,10004-00002,10004-00003,,,,,S,M,L,XL,,,,,34.5,36.5,VN,"41% Nylon
38% Polyester
8% Rubber
7% Polyurethane (PU)
6% Elastane","Warmth Without the Weight. Mother Nature has met her match with this low profile glove engineered to keep you going fast in cooler weather. Get the perfect amount of insulation to block out damp, cool temperatures while maintaining exceptional dexterity and control of your bike. These work well for those cold trail exploring or maintenance days.","- Adjustable TPR wrist closure with hook and loop backing ensures proper fit
- Lightly insulated soft-shell top hand provides protection against colder temps
- Moisture-wicking microfiber interior provides the perfect level of insulation
- Reflective graphics on top of hand offer a clean look with improved visibility
- Single-layer Clarino® palm for premium comfort
- Silicone printed palm graphics increase grip in damp conditions
- Integrated tech-thread keeps you connected with your devices","2W Distributor Bike, 2W Distributor - Moto, 2W Distributor, H2, International - Bike, International - Moto, International - AS, International, International - New, Mecanic Sport, Moto Dealers, Motonet, Pierce AB, Retail, TREK",#N/A,#N/A,,,,,,,,,,,
